mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
148,Berbera,706,Somalia,45.00833333,10.43333333,6,4,37995388,Africa,other,EastAfrica
431,Hargeysa,706,Somalia,44.075,9.575,9,54,115638936,Africa,other,EastAfrica
570,Kismaayo,706,Somalia,42.535,-0.355,5,7,37886744,Africa,other,EastAfrica
712,Merca,706,Somalia,44.76666667,1.716666667,6,14,33332438,Africa,other,EastAfrica
741,Mogadishu,706,Somalia,45.325,2.055769231,13,687,164656448,Africa,other,EastAfrica
168,Bloemfontein,710,South_Africa,26.225,-29.13214286,21,493,321290208,Africa,other,SouthAfrica
1287,Cape-Town,710,South_Africa,18.60055556,-33.94833333,45,3327,741605952,Africa,other,SouthAfrica
1361,Durban,710,South_Africa,30.93882979,-29.83244681,47,2802,810293760,Africa,other,SouthAfrica
329,East-London,710,South_Africa,27.875,-32.99285714,14,287,151126224,Africa,other,SouthAfrica
516,Johannesburg,710,South_Africa,28.06203704,-26.21882716,81,5370,1595968640,Africa,other,SouthAfrica
1454,Pietermaritzburg,710,South_Africa,30.3702381,-29.625,21,495,277021696,Africa,other,SouthAfrica
852,Port-Elizabeth,710,South_Africa,25.545,-33.931,25,748,315296160,Africa,other,SouthAfrica
864,Pretoria+,710,South_Africa,28.14375,-25.64166667,72,2700,1233794432,Africa,other,SouthAfrica
917,Rustenburg,710,South_Africa,27.23409091,-25.66590909,11,172,141693184,Africa,other,SouthAfrica
1122,Vereeniging,710,South_Africa,27.8675,-26.6725,20,349,317339520,Africa,other,SouthAfrica
1152,Witbank,710,South_Africa,29.19078947,-25.875,19,341,222632496,Africa,other,SouthAfrica
519,Juba,728,South_Sudan,31.575,4.865,10,7,136255120,Africa,other,EastAfrica
37,Al-Gadarif,729,Sudan,35.38125,14.03125,8,237,89004400,Africa,other,NorthAfrica
52,Al-Ubayyid,729,Sudan,30.2125,13.19166667,12,167,181133392,Africa,other,NorthAfrica
546,Kassala,729,Sudan,36.39285714,15.43571429,14,371,185717840,Africa,other,NorthAfrica
44,Khartoum,729,Sudan,32.51923077,15.61538462,52,2703,1010625664,Africa,other,NorthAfrica
792,Nyala,729,Sudan,24.88928571,12.05,14,159,191214960,Africa,other,NorthAfrica
857,Port-Sudan,729,Sudan,37.190625,19.615625,16,338,200259856,Africa,other,NorthAfrica
1139,Wad-Medani,729,Sudan,33.52833333,14.405,15,297,206993568,Africa,other,NorthAfrica
80,Arusha,834,Tanzania,36.69318182,-3.379545455,11,561,151161952,Africa,other,EastAfrica
295,Dar-es-Salaam,834,Tanzania,39.23467742,-6.839516129,31,4530,527377216,Africa,other,EastAfrica
699,Mbeya,834,Tanzania,33.42833333,-8.918333333,15,415,182146800,Africa,other,EastAfrica
