mua_objectid,mua_aggname,mua_cellcount,mua_country_code,mua_country,mua_cell_count_orig,mua_worldpop_thousands,mua_area_m2,mua_pop_per_km2,region_1,economy,sub_regions,lowBA_lowPR_93_99,highBA_lowPR_93_99,lowBA_highPR_93_99,highBA_highPR_93_99,lowBA_lowPR_99_09,highBA_lowPR_99_09,lowBA_highPR_99_09,highBA_highPR_99_09,lowBA_lowPR_10_20,highBA_lowPR_10_20,lowBA_highPR_10_20,highBA_highPR_10_20,GDP_1990_Bdol_US2011,GDP_1991_Bdol_US2011,GDP_1992_Bdol_US2011,GDP_1993_Bdol_US2011,GDP_1994_Bdol_US2011,GDP_1995_Bdol_US2011,GDP_1996_Bdol_US2011,GDP_1997_Bdol_US2011,GDP_1998_Bdol_US2011,GDP_1999_Bdol_US2011,GDP_2000_Bdol_US2011,GDP_2001_Bdol_US2011,GDP_2002_Bdol_US2011,GDP_2003_Bdol_US2011,GDP_2004_Bdol_US2011,GDP_2005_Bdol_US2011,GDP_2006_Bdol_US2011,GDP_2007_Bdol_US2011,GDP_2008_Bdol_US2011,GDP_2009_Bdol_US2011,GDP_2010_Bdol_US2011,GDP_2011_Bdol_US2011,GDP_2012_Bdol_US2011,GDP_2013_Bdol_US2011,GDP_2014_Bdol_US2011,GDP_2015_Bdol_US2011
1321,Asansol,18,356,India,19,1693,197198720,859,India,other,India,18,0,0,0,18,0,0,0,18,0,0,0,1.399670512,1.41016721,1.410831192,1.460328164,1.569794035,1.723671561,1.9024157,2.031724567,2.207539166,2.446765626,2.571324358,2.745119252,2.834085712,3.045532468,3.279489514,3.25543845,3.47003967,3.72754534,3.89098118,4.276457484,4.735479636,5.062077646,5.360778106,5.731204812,6.149342296,6.618173216
1322,Arak,13,364,Iran,13,211,124283032,170,MiddleEast,other,MiddleEast,13,0,0,0,13,0,0,0,13,0,0,0,3.706033554,4.17216983,4.325177964,4.287969134,4.239979744,4.357377462,4.637297242,4.693166206,4.77883759,4.864737638,5.146484426,5.803429586,6.150625248,6.343794716,6.552301442,6.555005402,7.408771452,7.713023808,7.610561414,7.97614784,8.250036116,8.588515156,8.044030668,7.910899518,8.227465752,8.451644124
1323,Gent,17,56,Belgium,17,249,145917008,171,Europe,advanced,Europe,17,0,0,0,17,0,0,0,17,0,0,0,7.47384246,7.61650075,7.74113213,7.68120526,7.95675017,8.1897927,8.37311796,8.81189389,9.00183242,9.23265835,9.59509578,9.72954311,10.12188339,10.33212932,10.79808501,11.02256061,11.36118544,11.93776504,11.94578865,11.80570379,12.10425186,12.28700209,12.3524565,12.42742628,12.6260568,12.83040466
1324,Brussels,21,56,Belgium,21,1292,212103376,609,Europe,advanced,Europe,21,0,0,0,21,0,0,0,21,0,0,0,46.92068478,48.08806512,49.097798,48.88080972,50.7380908,52.25898383,53.38597442,55.12826917,56.98323413,59.77570035,62.04053386,63.49456941,64.50620764,64.8604329,67.41259342,69.02751708,70.2200333,72.09102875,72.41555674,71.85806406,73.50813183,74.52663507,74.83141934,75.1924064,76.39422566,77.6306403
1325,Antofagasta,6,152,Chile,10,147,75665880,194,LatAmerCarib,advanced,LatAmerCarib,4,2,0,0,6,0,0,0,6,0,0,0,3.0052164,3.3971455,3.54777657,3.74949179,4.250777898,4.60335291,5.82842698,6.61079935,7.519497544,7.42449028,7.37435136,8.30850801,9.248157266,10.35791773,11.66063994,12.87757109,13.877682,14.87491113,15.45837615,15.15000143,15.70556509,16.62863089,17.54183201,18.23972721,18.52265204,18.84745071
1326,Qingzhou,16,156,China,16,407,176091952,231,China,other,China,13,3,0,0,8,8,0,0,2,1,0,13,0.678955106,0.772134526,0.874946345,0.956253971,1.132878481,1.278010605,1.418449814,1.530855251,1.644087444,1.773875134,1.924946999,2.090527184,2.29995277,2.582283326,2.94387266,3.378105884,3.953194938,4.462712936,4.841484022,5.307526122,5.721452602,6.263091726,6.746760398,7.242999168,7.75187461,8.26778595
1327,Shouguang,70,156,China,70,1948,978876032,199,China,other,China,57,13,0,0,33,22,1,14,10,10,6,44,3.731028215,4.246800497,4.816408774,5.268417274,6.246653122,7.052581122,7.83375225,8.461067066,9.093774038,9.818922952,10.66288375,11.58968482,12.7613624,14.33992102,16.36172228,18.79112508,22.0089694,24.86708181,27.00108341,29.62607293,31.96464627,35.02164165,37.75979148,40.57343148,43.42402292,46.3140251
1328,Dongying,38,156,China,39,691,488436352,141,China,other,China,32,6,0,0,6,2,19,11,22,16,0,0,1.244236998,1.413592983,1.600261051,1.747306458,2.068110378,2.330919712,2.584740677,2.787114049,2.990682931,3.224039867,3.495705818,3.793011042,4.169275752,4.676923412,5.327104779,6.107486473,7.140946187,8.054266221,8.730240659,9.562286282,10.29909218,11.2643385,12.12376916,13.00431345,13.91796524,14.8442482
1329,Tongcheng,9,156,China,9,83,91726848,90,China,other,China,9,0,0,0,7,2,0,0,7,2,0,0,0.192128964,0.184100695,0.207807806,0.233321845,0.253828699,0.305033361,0.329799106,0.359555668,0.389817852,0.420678138,0.439385995,0.483687742,0.515822589,0.548724772,0.609672286,0.642664105,0.718416606,0.825106398,0.903748046,1.032319872,1.230136334,1.343986194,1.44495939,1.552392212,1.66145952,1.77203457
1330,Annaba,10,12,Algeria,13,403,122149000,330,Africa,other,NorthAfrica,10,0,0,0,10,0,0,0,10,0,0,0,3.228143584,3.165530012,3.201148384,3.116373346,3.074817796,3.181908,3.306489344,3.34065594,3.511874968,3.62739877,3.769931256,3.9009386,4.13884556,4.456750926,4.666287826,4.95603558,5.050155866,5.227202576,5.35254393,5.43186594,5.61446421,5.748682094,5.909277134,6.03623564,6.21864907,6.41681071
